C,Penalty,Loss,Precision,Recall,F1 Score,Training Time,Prediction Time,Accuracy
0.196,l1,,0.8728943338437979,0.9049414566382219,0.8886290558316281,1.224876880645752,0.0008578300476074219,0.8857
0.197,l1,,0.8729429774205893,0.9053383607858703,0.8888455918168534,1.3169219493865967,0.0008308887481689453,0.8859
0.198,l1,,0.87311004784689,0.9053383607858703,0.8889321901792674,1.004716157913208,0.0007832050323486328,0.886
0.199,l1,,0.8732771822358346,0.9053383607858703,0.8890188054175194,0.9548149108886719,0.0007989406585693359,0.8861
0.201,l1,,0.8735389921440889,0.9047430045643977,0.8888672255800352,1.127324104309082,0.0019011497497558594,0.886
0.202,l1,,0.8739222073194098,0.9051399087120461,0.8892571651394034,1.0991909503936768,0.0008301734924316406,0.8864
0.203,l1,,0.8739222073194098,0.9051399087120461,0.8892571651394034,0.9963088035583496,0.0008089542388916016,0.8864
0.204,l1,,0.8737547892720307,0.9051399087120461,0.8891704844526758,1.0827839374542236,0.0009210109710693359,0.8863
0.205,l1,,0.8735874353572113,0.9051399087120461,0.889083820662768,1.2090599536895752,0.0008521080017089844,0.8862
0.206,l1,,0.8735874353572113,0.9051399087120461,0.889083820662768,0.9050140380859375,0.0008571147918701172,0.8862
0.207,l1,,0.8735874353572113,0.9051399087120461,0.889083820662768,0.9264440536499023,0.0007848739624023438,0.8862
0.208,l1,,0.8736116430486404,0.9053383607858703,0.8891920865412729,1.2737278938293457,0.0008399486541748047,0.8863
0.209,l1,,0.8736116430486404,0.9053383607858703,0.8891920865412729,1.0690128803253174,0.0007872581481933594,0.8863
0.21,l1,,0.8735874353572113,0.9051399087120461,0.889083820662768,1.1967191696166992,0.0007829666137695312,0.8862
0.211,l1,,0.8739463601532567,0.9053383607858703,0.889365435227605,0.9364712238311768,0.0008490085601806641,0.8865
0.212,l1,,0.8739463601532567,0.9053383607858703,0.889365435227605,1.1160738468170166,0.0007889270782470703,0.8865
0.213,l1,,0.8743054224947308,0.9055368128596943,0.8896471046987716,1.205491304397583,0.0009062290191650391,0.8868
0.214,l1,,0.8741138149070703,0.9053383607858703,0.8894521349190875,1.158263921737671,0.0008480548858642578,0.8866
0.215,l1,,0.8742572359593637,0.9051399087120461,0.8894305772230889,1.0147600173950195,0.0013210773468017578,0.8866
0.216,l1,,0.8742331288343558,0.9049414566382219,0.8893222818137493,1.1964099407196045,0.001149892807006836,0.8865
0.217,l1,,0.8742331288343558,0.9049414566382219,0.8893222818137493,1.1644370555877686,0.0008208751678466797,0.8865
0.218,l1,,0.8743766781741465,0.9047430045643977,0.8893006924802497,0.9671740531921387,0.0008020401000976562,0.8865
0.219,l1,,0.8741607519662382,0.9043461004167493,0.888997268825595,1.1974961757659912,0.0008041858673095703,0.8862
0.22,l1,,0.8743284727551803,0.9043461004167493,0.8890839918056775,1.1788880825042725,0.0007841587066650391,0.8863
0.221,l1,,0.8741848868431147,0.9045445524905735,0.889105627621184,1.119196891784668,0.0007901191711425781,0.8863
0.222,l1,,0.874209012464046,0.9047430045643977,0.8892139652818413,0.8827447891235352,0.0008261203765869141,0.8864
0.223,l1,,0.8741848868431147,0.9045445524905735,0.889105627621184,1.2882699966430664,0.0007832050323486328,0.8863
0.224,l1,,0.8745203376822717,0.9045445524905735,0.8892790947224661,1.0805058479309082,0.0007970333099365234,0.8865
0.225,l1,,0.8745203376822717,0.9045445524905735,0.8892790947224661,0.9987468719482422,0.0007870197296142578,0.8865
0.226,l1,,0.8744721689059501,0.9041476483429252,0.8890623475461021,0.8547859191894531,0.0007879734039306641,0.8863
0.227,l1,,0.8744480706469572,0.903949196269101,0.8889539422326307,1.072983980178833,0.0008151531219482422,0.8862
0.228,l1,,0.8746159754224271,0.903949196269101,0.8890406948375135,0.9481840133666992,0.00084686279296875,0.8863
0.229,l1,,0.8745918955252545,0.9037507441952768,0.888932266250244,1.141204833984375,0.0008320808410644531,0.8862
0.23,l1,,0.8745918955252545,0.9037507441952768,0.888932266250244,0.9990391731262207,0.0007920265197753906,0.8862
0.231,l1,,0.8744239631336406,0.9037507441952768,0.8888455157607105,1.1415050029754639,0.0007958412170410156,0.8861
0.232,l1,,0.8745918955252545,0.9037507441952768,0.888932266250244,1.1981511116027832,0.0008339881896972656,0.8862
0.233,l1,,0.8745918955252545,0.9037507441952768,0.888932266250244,0.9600479602813721,0.0008325576782226562,0.8862
0.234,l1,,0.8745918955252545,0.9037507441952768,0.888932266250244,1.246392011642456,0.0009300708770751953,0.8862
0.235,l1,,0.8747598924318094,0.9037507441952768,0.8890190336749634,0.8622946739196777,0.0009980201721191406,0.8863
